image,name,category,location,color,size,amount,comments,claimed,hidden
"('src', 'https://drive.google.com/thumbnail?id=1x_tqsZgaerFIXg9RtB-W7NiVnflAsNDi&sz=w200-h200')",cucumber/courgette ,Food (fake),25.1 - food and cooking,green,,11,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1f2iZIjbNaiweVuPnNDSjCnuh3WCO2hRd&sz=w200-h200')",Bowler hats,Hat,29 - hats,Black white,,2,Lambik british,None,0
"('src', 'https://drive.google.com/thumbnail?id=1T8Xm-RjUexHPad-I4Ihw2sDdnoKKAd3H&sz=w200-h200')",asian farmer straw hat,Hat,29 - hats,straw beige,,2,"One of the hats is slightly blackened.  Straw hat, farmer hat, rice farmer, Asian.  Stored in plastic bag because it looses straw occasionally ",None,0
"('src', 'https://drive.google.com/thumbnail?id=1zLBbwc-F8lm5JcCOvkAkLlDpfPoCfVBX&sz=w200-h200')",garlic string,Food (fake),25.1 - food and cooking,white,,6,disclaimer: fake garlic does not protect against vampires ,None,0
"('src', 'https://drive.google.com/thumbnail?id=1h3qqAKARK_cwoIbWmuK0aMEzP7MNBvIF&sz=w200-h200')",apple,Food (fake),25.1 - food and cooking,red,,12,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1T7K65R-4_y31MHKvtIac5u6JMnmDnwqo&sz=w200-h200')",Monster wig top hat,Hat,"25.2 - big floppy, magic, christmas and monstrous hats",Green black,,,"Grinch
There is a matching jacket",None,0
"('src', 'https://drive.google.com/thumbnail?id=1YsW1FaBxEzm_OEuvq6zN60j8ghya3dDk&sz=w200-h200')",white grapes,Food (fake),25.1 - food and cooking,green,,1,squishy,None,0
"('src', 'https://drive.google.com/thumbnail?id=1OF2HYzmfrTSB3vqxPpXSuu66e8vMBV_Y&sz=w200-h200')",Santa hat glitter,Hat,"25.2 - big floppy, magic, christmas and monstrous hats",Red white,,,Christmas ho ho ho,None,0
"('src', 'https://drive.google.com/thumbnail?id=14qHs6_8Tdx9WbP8TJliOVPOZqEQ5lK1F&sz=w200-h200')",red grapes,Food (fake),25.1 - food and cooking,black ,,1,squishy,None,0
"('src', 'https://drive.google.com/thumbnail?id=1o2hBN4o9z_eZxGmOVqoghwyWGOw2ooHz&sz=w200-h200')",Donkey mask,head_other,"25.2 - big floppy, magic, christmas and monstrous hats",Grey,,,Animal,None,0
"('src', 'https://drive.google.com/thumbnail?id=151KJspF4BPm8KWk3auJPZcn7P1uF_hBH&sz=w200-h200')",dried sausage ,Food (fake),25.1 - food and cooking,white-red,,3,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1Cy5Q9v6PqS7x2R0NM6qSYealLwKynDbD&sz=w200-h200')",Elf hats wool,Hat,"25.2 - big floppy, magic, christmas and monstrous hats",Green red,,2,Christmas santa,None,0
"('src', 'https://drive.google.com/thumbnail?id=1w-b0PiYctp9U4LAj2ygPoMmXFaSHsK6g&sz=w200-h200')",Pointy hat,Hat,"25.2 - big floppy, magic, christmas and monstrous hats",Black,,,Witch wizard magic halloween,None,0
"('src', 'https://drive.google.com/thumbnail?id=1n2tMEDR0MK7YIRcTxV26o9gAOwc6ihrs&sz=w200-h200')",Pointy hat stars,Hat,"25.2 - big floppy, magic, christmas and monstrous hats",Black silver,,,Witch wizard magic halloween,None,0
"('src', 'https://drive.google.com/thumbnail?id=1f-80dPmlbEjS0EzzjBwcqNvL3MPKNNaN&sz=w200-h200')",Explorer hat feathered,Hat,"25.2 - big floppy, magic, christmas and monstrous hats",Grey brown,,,Hiker adventure,None,0
"('src', 'https://drive.google.com/thumbnail?id=1XHfXaZSUYZvtnCoK4b3nnY_f-S24Z4Sa&sz=w200-h200')",Explorer hat feathered,Hat,"25.2 - big floppy, magic, christmas and monstrous hats",Brown black,,,Hiker adventure,None,0
"('src', 'https://drive.google.com/thumbnail?id=1vmuotgOyCdkpG9IIs-RJEnxgkQSZf16I&sz=w200-h200')",Ranger hat,Hat,"25.2 - big floppy, magic, christmas and monstrous hats",Brown,,,Hiker explorer medieval,None,0
"('src', 'https://drive.google.com/thumbnail?id=1840qmcDKhIE5cBakkcA9VQNzdhqdG1p2&sz=w200-h200')",Explorer hat,Hat,"25.2 - big floppy, magic, christmas and monstrous hats",Brown,,,Explorer hiker medieval ranger,None,0
"('src', 'https://drive.google.com/thumbnail?id=12vK-vZJZyNhOyIo3j_BjqW45zDDDS0kU&sz=w200-h200')",Rabbit ears,head_other,"25.2 - big floppy, magic, christmas and monstrous hats",White pink,,,"Very scary
Animal bunny easter",None,0
"('src', 'https://drive.google.com/thumbnail?id=1ZRGKAdaMoM-NrJmXujvH-AKIESq1wuec&sz=w200-h200')",Explorer hat feathered,Hat,"25.2 - big floppy, magic, christmas and monstrous hats",Grey,,,Adventurer ranger,None,0
"('src', 'https://drive.google.com/thumbnail?id=13YQZK5GnPfe5VOjMe6ZWo7v9FpRKRroa&sz=w200-h200')",Explorer hat,Hat,"25.2 - big floppy, magic, christmas and monstrous hats",Black,,,Medieval fantasy ranger hiker,None,0
"('src', 'https://drive.google.com/thumbnail?id=1b_zQJ_X25fajb0ukTG40vVX7TQinRiHC&sz=w200-h200')",Handsaw,Tools,34 - Other,silver with an orange handle,"20\"" - 510 - 7 teeth - 8 points",1,It has a protective cover as well,None,0
"('src', 'https://drive.google.com/thumbnail?id=1rqf_0aIMUHYG7rxjqxsmTbgOR3NRBmW4&sz=w200-h200')",Clamp (tool),Tools,34 - Other,grey,#ERROR!,1,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1U003ZBjxaQg7kC-TRf1gikphx6sYbYUg&sz=w200-h200')",purple-yellow golfclub beanie,Melee,12 - Tall items/Corner,purple-yellow,,2,,None,0
"('src', 'https://drive.google.com/thumbnail?id=16-9ThC7O6lL1PdxCpvDzGFIpopfAUEdE&sz=w200-h200')",Postermap,Archive,12 - Tall items/Corner,silver,A2,1,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1bv05nujTuwnb8AKSv0XC8X3gb6rYIby4&sz=w200-h200')",Plunger,Household,12 - Tall items/Corner,Orange brown,,2,Toilet,None,0
"('src', 'https://drive.google.com/thumbnail?id=1ywK0SAQ25ZQOcftGPZtv8G4IiLmhZZVT&sz=w200-h200')",isolation tubes,Materials ,12 - Tall items/Corner,grey,1 m,16,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1nOf5JFFGWIOmq7quUkGJTD6cLU3NlEnN&sz=w200-h200')",,All,All,,,,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1ffN85mKWRa6p71-SLDH4LGyi1kF1SP0v&sz=w200-h200')",Measuring stick,Stationary/office,12 - Tall items/Corner,Brown,1 meter,1,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1k2YhsFPjH0TwnQ4iftsRFzgx7T8QSl7n&sz=w200-h200')",poster stand?,Board stuff,12 - Tall items/Corner,silver,,2,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1YcFGz3daRco5139bsJdvwEdoMe8BvEJY&sz=w200-h200')",Lightsaber,Melee,12 - Tall items/Corner,"Green, blue",75 cm,3,"Star wars
1 claimed by interNEST (2022-2023)",InterNEST,0
"('src', 'https://drive.google.com/thumbnail?id=1Cn6zBKIKI9lusRt3_B3OVB5k63ReL3pM&sz=w200-h200')",futuristic spear,Melee,12 - Tall items/Corner,white&silver,"~1,50 m",1,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1jYozkZhbnuLd7EImRiJRHqtQGkk41PdJ&sz=w200-h200')",Short sword,Bladed,12 - Tall items/Corner,"Grey, gold",60 cm,2,"Fencing, royalty, knight ",None,0
"('src', 'https://drive.google.com/thumbnail?id=1cY_H4BWraFos_yj5fFtkDnHidS3ni0e6&sz=w200-h200')",real sword,Bladed,12 - Tall items/Corner,silver,,1,heavy and quite sharp,None,0
"('src', 'https://drive.google.com/thumbnail?id=1naM6MK-M6geif9Vh35NNUQP3ZxACTAcs&sz=w200-h200')",gulf club,Long,12 - Tall items/Corner,silver,about 1 m,5,Two of them have a protective cover,None,0
"('src', 'https://drive.google.com/thumbnail?id=10JaSnw-uZRRC-UUOPFyrmavKw-LGUt9x&sz=w200-h200')",walking crutches,Long,12 - Tall items/Corner,grey,"~1,5 m",2,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1QN9gJIPEeUky6yVkP6KX1ZjHBDoHKwhV&sz=w200-h200')",handbows,Bow,12 - Tall items/Corner,black/wood,,5,,None,0
"('src', 'https://drive.google.com/thumbnail?id=1-7E4K1l1MEir3aOFZGow6Z97diXr6985&sz=w200-h200')",Knight sword,Weapon,12 - Tall items/Corner,silver,#ERROR!,1,"Silver plastic sword with a
darker silver handle, knights",None,0
"('src', 'https://drive.google.com/thumbnail?id=1CeNlGbDQv6EKw2biFtQb0COYDO3WROKY&sz=w200-h200')",baseball bat,Melee,12 - Tall items/Corner,silver,1 m,1,,None,0
